gene_short_name,Y(1),Y(2),Y(3),AL 15 (1),AL 15 (2),AL 15 (2),DR 15 (1),DR 15 (2),DR 15 (3),ALtoDR(1),ALtoDR(2),ALtoDR(3),DRtoAL(1),DRtoAL(2),DRtoAL(3)
Dbh,0,0,0,0,0,0,0,0.0441121,0,0,0,0,0,0,0
Mmp11,0.503646,0.278499,1.11218,1.13415,0.669235,0.835586,0.407555,0.265373,0.165249,0.842574,0.455975,0.158685,0.162434,0.116742,0.0304973
Smarcb1,8.42878,7.35039,9.86175,6.43527,8.01304,8.17503,5.58199,5.77133,6.48609,1.50268,2.35754,1.30257,2.82215,2.86184,4.232
Vpreb3,0.0985168,0.110152,0.461758,0.554619,0.581957,0.807863,3.00334,1.2771,1.89712,0,1.0939,0.183234,0,0,0
Hip1r,2.26884,1.95239,3.11343,1.8224,1.84791,1.16234,1.91019,1.99147,2.53153,2.13695,2.07935,3.14573,2.73579,1.78398,3.20736
Nsun5,1.97039,1.38087,2.17096,2.49581,2.07997,1.90596,2.06077,2.95795,1.33751,2.74242,2.60653,2.75661,3.57734,2.46119,3.55187
Top1mt,10.5849,8.99297,10.6628,8.71176,9.79911,6.98744,5.79114,6.33417,5.17766,3.16293,3.80199,2.32657,4.14522,4.30882,4.29314
Hoxa10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoxa4,0.143916,0,0.119267,0.0428008,0.0566627,0.0626007,0.165129,0.231636,0.162652,0,0.0761043,0.151917,0.231853,0.227759,0.057694
Snrpn,5.37361,3.56268,4.82847,5.86717,11.1814,6.29682,6.67112,6.83009,3.75235,2.778,2.90021,2.92482,1.974,1.85878,1.9624
Mmp14,1.09324,1.35329,2.32044,2.67361,2.10926,2.09145,2.00054,1.61467,1.91725,7.85047,7.93402,6.26109,6.55123,5.54371,5.1695
Slc7a7,1.90028,1.49548,1.95612,1.16915,1.53943,1.59177,2.12593,1.72959,1.94467,1.69291,1.33188,0.763914,2.7125,1.59913,1.1633
Oxa1l,10.4048,8.44507,13.0435,10.1368,11.3086,10.1141,13.2988,13.0916,11.4151,11.9334,15.2168,9.58569,13.0532,10.9152,12.6165
Heatr6,3.05911,1.69537,2.54774,3.07981,2.41867,2.24768,1.62306,2.08342,1.49408,1.09063,1.54566,1.38243,2.26103,2.25001,2.91301
Ccl3,0.0794557,0,0,0.715157,0.353042,0.693146,0.144998,0,0.353974,0,0,0.0638309,0,0.542677,0.138971
Expi,0.0572973,0.143781,0.378372,0,0,0.110751,0.116487,0.513756,0,0.35853,0,0.0518744,0,0,0
Icam4,0.648223,0,0.211472,0.0748518,0.158153,0.454492,0.299253,1.43637,0.395696,0.222252,0.113767,0.0365733,0,0,0.236469
Ilf2,5.24781,5.13112,6.33142,4.49937,5.00741,4.42842,3.65635,5.21182,3.74382,6.34522,5.7453,2.95764,6.52063,5.89251,6.78906
2500003M10Rik,13.3163,12.6992,14.6017,12.4236,15.7706,15.1781,12.2939,12.6374,13.3224,9.1175,9.18019,5.75033,10.1362,9.21321,10.5789
Snapin,9.15253,5.15611,6.92856,8.68917,9.05294,7.44332,6.24866,5.30751,4.44735,9.19791,9.16401,7.22155,13.3428,14.5695,12.1586
S100a4,0.510399,2.74168,0,4.70199,2.87958,4.68427,3.43977,1.46735,3.45055,1.492,1.19133,0.291963,2.1011,1.93121,0.157408
S100a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a6,3.59895,2.95258,3.51961,8.12095,5.53156,6.80245,21.9467,3.85928,4.70204,1.35314,1.82043,1.44238,4.31682,5.01903,0.434697
Scn4a,0,0,0,0,0.00554195,0.017219,0,0.00874353,0,0,0.30645,0.446109,0.516686,0,0
Icam2,2.12388,1.44372,3.07673,4.25498,4.3162,3.79935,2.83289,2.57857,3.5327,2.17912,1.73981,0.744489,2.2174,2.26611,1.82417
